cod_producto_comercial;cod_modalidad;fec_alta;cod_va;cod_pais;fec_baja;ind_obligatorio;cod_grp_va_obligatorio;tipo_emb;num_intentos_entrega_min;num_intentos_entrega_max;tiempo_lista_min;tiempo_lista_max;importe_min;importe_max;tiempo_custodia;ind_envio;fec_creacion;fec_actualizacion
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;IND;;f;;;0;0;0;0;0.01;1703.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;IDN;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;IRQ;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;CYM;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;FLK;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;ISR;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;JOR;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;KAZ;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;KAZ;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;KEN;;f;;;0;0;0;0;0.01;103.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;KGZ;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;KGZ;;f;;;0;0;0;0;0.01;1134.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;KWT;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;KWT;;f;;;0;0;0;0;0.01;1618.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;LBN;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;LBR;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;LBY;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;MAC;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;VDINPO;MAC;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;EXPORT;2024-10-17 00:00:00;ARINPO;MDG;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;VADELO;ESP;;f;;"";0;0;0;0;0.01;6000.00;0;t;2024-01-19 00:00:00;2024-04-19 00:00:00
LOJXO1;DSUAOF;2024-01-19 00:00:00;VADELO;ESP;;f;;"";0;0;0;0;0.01;6000.00;0;t;2024-01-19 00:00:00;2024-04-19 00:00:00
LOJXO1;DCUAOF;2024-01-19 00:00:00;VADELO;ESP;;f;;"";0;0;0;0;0.01;6000.00;0;t;2024-01-19 00:00:00;2024-04-19 00:00:00
LOJXO1;CAUAOF;2024-01-19 00:00:00;VADELO;ESP;;f;;"";0;0;0;0;0.01;6000.00;0;t;2024-01-19 00:00:00;2024-04-19 00:00:00
LOJXP1;DOURUA;2024-01-19 00:00:00;VADELO;ESP;;f;;"";0;0;0;0;0.01;6000.00;0;t;2024-01-19 00:00:00;2024-04-19 00:00:00
PAAXH1;DOUAOF;2023-10-31 00:00:00;SEINPA;UMI;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXH1;DOUAOF;2023-10-31 00:00:00;SEINPA;MUS;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXH3;DOUAOF;2024-08-30 00:00:00;SEINPA;UMI;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXH3;DOUAOF;2024-08-30 00:00:00;SEINPA;MUS;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;SEINPA;WLF;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;SEINPA;UMI;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;SEINPA;FLK;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;SEINPA;NFK;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;SEINPA;MUS;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;SEINPA;STP;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXI3;DOUAOF;2024-08-30 00:00:00;SEINPA;WLF;;f;;;0;0;0;0;0.01;3000.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXK1;DOUAOF;2023-10-31 00:00:00;ARINPO;WLF;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXK1;DOUAOF;2023-10-31 00:00:00;ARINPO;FLK;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAAXK1;DOUAOF;2023-10-31 00:00:00;ARINPO;MUS;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;NTAPEU;2024-08-30 00:00:00;RISIPO;ESP;;t;1;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC1;NTAPEU;2024-08-30 00:00:00;CLAENPO;ESP;;f;;;0;0;0;0;0.00;0.00;0;f;2024-10-17 00:00:00;2024-10-17 00:00:00
