cod_producto_comercial;cod_modalidad;fec_alta;cod_ambito;fec_creacion;fec_actualizacion
LOHXN1;DOURUA;2024-01-19 00:00:00;113;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;114;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;115;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;116;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;117;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;118;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;119;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;120;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;121;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;122;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;123;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;124;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;125;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;126;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;127;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;128;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;129;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;130;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;131;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;132;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;133;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;134;2024-01-19 00:00:00;2024-01-19 00:00:00
