cod_va;cod_perfil;fec_alta;fec_baja;cod_sap;importe_base;importe_min;por_incremento;valor_complejidad;desc_precio_va;cod_formula;desc_formula;fec_creacion;fec_actualizacion
GEEAPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC185;2.28;0.00;0.00;1;El nivel 1 - fÃ¡cil, tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
GEEAPA;1;2025-01-01 00:00:01;2025-12-31 00:00:00;SAC185;5.00;0.00;0.00;2;El nivel 2 - medio, tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
GEEAPA;1;2025-01-01 00:00:02;2025-12-31 00:00:00;SAC185;10.00;0.00;0.00;3;El nivel 3 - complejo, tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
FEEDPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC097;0.00;0.00;0.00;;Se ofrece como atributo del producto;6;Gratis;2025-01-16 00:00:00;2025-01-16 00:00:00
ENFHPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC098;0.00;0.00;0.00;;Se ofrece como atributo del producto;6;Gratis;2025-01-16 00:00:00;2025-01-16 00:00:00
APEPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC186;2.29;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
ESDOPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC164;2.10;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
ESVAPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC165;3.90;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
VADEPA;3;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC058;0.00;1.67;1.50;;Se cobrarÃ¡ sobre el valor asegurado el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2025-01-16 00:00:00;2025-01-16 00:00:00
VADEPA;4;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC058;0.00;1.67;1.50;;Se cobrarÃ¡ sobre el valor asegurado el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2025-01-16 00:00:00;2025-01-16 00:00:00
PELIPA;4;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC175;8.00;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
SEINPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC055;0.00;2.04;1.00;;Se cobrarÃ¡ sobre el valor asegurado el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2025-01-16 00:00:00;2025-01-16 00:00:00
SEINPA;3;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC055;0.00;2.04;1.00;;Se cobrarÃ¡ sobre el valor asegurado el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2025-01-16 00:00:00;2025-01-16 00:00:00
VDINPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC036;3.20;1.00;50.00;;Tiene un coste de (importe_base) ?, por cada (por_incremento) ? declarados o fracciÃ³n;4;Input / (por_incremento). Resultado redondeado a entero superior y multiplicado por (importe_base). MÃ­nimo de (importe_min) fracciones;2025-01-16 00:00:00;2025-01-16 00:00:00
REINPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC027;2.86;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
ARINPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC036;2.15;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
SOACPPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC063;1.45;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
SOACMPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC061;1.61;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
SOACGPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC051;1.78;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
SOSEPPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC066;1.20;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
SOSEMPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC065;1.32;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
SOSEGPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC064;1.78;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
CAJPEPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC052;2.23;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
CAJMEPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC053;3.14;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
CAJGRPA;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC068;3.35;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
VADELO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC196;0.00;1.50;1.50;;Se cobrarÃ¡ sobre el valor asegurado el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2025-01-16 00:00:00;2025-01-16 00:00:00
DESPAXP;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC197;46.67;0.00;0.00;1;En el Micro y Mini Pale tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
DESPAXP;1;2025-01-01 00:00:01;2025-12-31 00:00:00;SAC197;53.33;0.00;0.00;2;En el Small, Medium y Stardard Pale tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
DESPAXP;1;2025-01-01 00:00:02;2025-12-31 00:00:00;SAC197;60.00;0.00;0.00;3;En el Maxi y Big Pale tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
CENOXP;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC198;4.00;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
DEM30XP;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC202;46.67;1.00;30.00;;Tiene un coste de (importe_base) ?, por cada (por_incremento) minutos de demora o fracciÃ³n;4;Input / (por_incremento). Resultado redondeado a entero superior y multiplicado por (importe_base). MÃ­nimo de (importe_min) fracciones;2025-01-16 00:00:00;2025-01-16 00:00:00
RAEEXL;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC195;4.50;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
ENRECLO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC100;0.00;0.00;0.00;;Se ofrece como atributo del producto;6;Gratis;2025-01-16 00:00:00;2025-01-16 00:00:00
VADEPA;2;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC058;0.00;1.67;1.50;;Se cobrarÃ¡ sobre el valor asegurado el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2025-01-16 00:00:00;2025-01-16 00:00:00
REICPA;2;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC084;0.00;2.50;2.75;;Se cobrarÃ¡ sobre el valor del reembolso el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2025-01-16 00:00:00;2025-01-16 00:00:00
REDOPA;2;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC086;0.00;7.50;6.00;;Se cobrarÃ¡ sobre el valor del reembolso el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2025-01-16 00:00:00;2025-01-16 00:00:00
GEENFR;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC185;0.00;0.00;0.00;;Se ofrece como atributo del producto;6;Gratis;2025-01-16 00:00:00;2025-01-16 00:00:00
GEENFR;2;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC185;0.00;0.00;0.00;;Se ofrece como atributo del producto;6;Gratis;2025-01-16 00:00:00;2025-01-16 00:00:00
ARNAPO;1;2025-01-01 00:00:00;2025-12-31 00:00:00;SAC002;2.20;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2025-01-16 00:00:00;2025-01-16 00:00:00
